" W, or the Memory of Childhood ", Georges Perec
 The Diviners , Margaret Laurence
 A Dance to the Music of Time , Anthony Powell
 The Dispossessed , Ursula K Le Guin
 Grimus , Salman Rushdie
 The Dead Father , Donald Barthelme
 Fateless , Imre Kertész
 Willard and His Bowling Trophies , Richard Brautigan
 High Rise , JG Ballard
 Humboldt’s Gift , Saul Bellow
 Dead Babies , Martin Amis
 Correction , Thomas Bernhard
 Ragtime , EL Doctorow
 The Optimistrist’s Daughter , Eudora Welty
 The Fan Man , William Kotzwinkle
 The Twilight Years , Sawako Ariyoshi
 Dusklands , JM Coetzee
 The Lost Honor of Katharina Blum , Heinrich Böll
 Tinker Tailor Soldier Spy , John Le Carré
 Breakfast of Champions ," Kurt Vonnegut, Jr"
 Fear of Flying , Erica Jong
 A Question of Power , Bessie Head
 Lives of Girls & Women , Alice Munro
 The Siege of Krishnapur , JG Farrell
 The Castle of Crossed Destinies , Italo Calvino
 Crash , JG Ballard
 The Honorary Consul , Graham Greene
 Cataract , Mykhaylo Osadchyl
 Gravity’s Rainbow , Thomas Pynchon
 The Black Prince , Iris Murdoch
 Sula , Toni Morrison
 Invisible Cities , Italo Calvino
 The Breast , Philip Roth
 A World for Julius , Alfredo Bryce Echenique
 The Summer Book , Tove Jansson
 G , John Berger
 Play It As It Lays , Joan Didion
 Surfacing , Margaret Atwood
 Fifth Business , Robertson Davies
 House Mother Normal , BS Johnson
" Here’s to You, Jesusa ", Elena Poniatowska
 In A Free State , VS Naipaul
 Seasons of Migrations to the North , Tayeb Salih
 The Book of Daniel , EL Doctorow
 Heartbreak Tango , Manuel Puig
 Fear and Loathing in Las Vegas , Hunter S Thompson
 Moscow Stations , Venedikt Yerofeev
 Group Portrait With Lady , Heinrich Böll
 The Case Worker , Gyorgy Konrad
 The Wild Boys , William Burroughs
 Rabbit Redux , John Updike
 The Sea of Fertility , Yukio Mishima
 The Driver’s Seat , Muriel Spark
 The Ogre , Michael Tournier
 The Bluest Eye , Toni Morrison
 Jacob the Liar , Jurek Becker
 Goalie’s Anxiety at the Penalty Kick , Peter Handke
